('Total Revenue', '245,122,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         752101 function calls (734045 primitive calls) in 1.731 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      318    0.001    0.000    1.033    0.003 socket.py:693(readinto)
      254    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
     2513    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
       77    0.001    0.000    0.004    0.000 css_parser.py:462(parse_attribute_selector)
      318    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
     2277    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       10    0.000    0.000    0.003    0.000 enum.py:919(_convert_)
     1002    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      320    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
    160/4    0.000    0.000    0.250    0.063 <frozen importlib._bootstrap_external>:989(exec_module)
     2877    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     1402    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     2992    0.000    0.000    0.000    0.000 __init__.py:453(set_up_substitutions)
     1039    0.000    0.000    0.001    0.000 element.py:1543(get)
      160    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      353    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
      160    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
     2852    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
       15    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      169    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
     1107    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      539    0.000    0.000    0.001    0.000 typing.py:1188(__setattr__)
      192    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      318    0.000    0.000    1.031    0.003 ssl.py:1095(read)
       66    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
       56    0.000    0.000    0.002    0.000 _htmlparser.py:90(handle_startendtag)
     1059    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1059    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.003    0.003 packages.py:1(<module>)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
       24    0.000    0.000    0.001    0.000 enum.py:254(__set_name__)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      481    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      488    0.000    0.000    0.001    0.000 enum.py:726(__call__)
        1    0.000    0.000    0.054    0.054 client.py:213(_read_headers)
       85    0.000    0.000    0.001    0.000 typing.py:1242(__init__)
  187/184    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      412    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
      120    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:385(freeze)
      169    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
       74    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
     2577    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
      136    0.000    0.000    0.000    0.000 css_parser.py:359(__init__)
      188    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      188    0.000    0.000    0.038    0.000 _compiler.py:573(_code)
      480    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      839    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
  208/174    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
      498    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
     1691    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      329    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      347    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      161    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        1    0.000    0.000    0.004    0.004 socket.py:1(<module>)
      595    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
    432/8    0.000    0.000    0.250    0.031 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
       22    0.000    0.000    0.001    0.000 enum.py:528(__new__)
      169    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
  627/569    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       22    0.000    0.000    0.000    0.000 threading.py:314(_is_owned)
      488    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
      720    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 utils.py:539(get_encoding_from_headers)
       48    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       20    0.000    0.000    0.000    0.000 <frozen _collections_abc>:892(__iter__)
      582    0.000    0.000    0.000    0.000 typing.py:1134(_is_dunder)
       49    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
