('Total Revenue', '245,122,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         759778 function calls (743103 primitive calls) in 1.567 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      252    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:416(__enter__)
      252    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      251    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      251    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      251    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      251    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      251    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      251    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      249    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      232    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      232    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      231    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      231    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
      231    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      231    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
    231/5    0.002    0.000    0.292    0.058 <frozen importlib._bootstrap>:911(_load_unlocked)
  231/227    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      231    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      231    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
      229    0.015    0.000    0.015    0.000 {built-in method builtins.compile}
      226    0.000    0.000    0.000    0.000 _make.py:1118(decide_callable_or_boolean)
  224/151    0.000    0.000    0.006    0.000 typing.py:508(__getitem__)
      220    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      215    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      211    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      211    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      211    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      211    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      203    0.001    0.000    0.009    0.000 {built-in method builtins.eval}
  199/165    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
      198    0.000    0.000    0.001    0.000 typing.py:1454(<genexpr>)
    194/1    0.001    0.000    1.569    1.569 {built-in method builtins.exec}
      194    0.000    0.000    0.000    0.000 _make.py:1109(_determine_attrib_eq_order)
      193    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      192    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      192    0.018    0.000    0.018    0.000 {built-in method marshal.loads}
      192    0.003    0.000    0.003    0.000 {built-in method _io.open_code}
      192    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      192    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
      192    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      192    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      192    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
      192    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
      192    0.001    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
    192/5    0.000    0.000    0.292    0.058 <frozen importlib._bootstrap_external>:989(exec_module)
      192    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
      192    0.003    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      192    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      192    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      192    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      190    0.000    0.000    0.000    0.000 _make.py:1152(_determine_whether_to_implement)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      187    0.000    0.000    0.021    0.000 _make.py:209(_compile_and_eval)
      185    0.000    0.000    0.001    0.000 _make.py:1020(<genexpr>)
      182    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
      178    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
      178    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
   178/91    0.000    0.000    0.144    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      178    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
  176/136    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
      174    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      174    0.001    0.000    0.046    0.000 _parser.py:969(parse)
      174    0.001    0.000    0.005    0.000 _compiler.py:511(_compile_info)
      174    0.001    0.000    0.074    0.000 _compiler.py:740(compile)
      174    0.000    0.000    0.027    0.000 _compiler.py:573(_code)
      174    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
      174    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
      174    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      171    0.000    0.000    0.000    0.000 enum.py:942(<lambda>)
      167    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      165    0.000    0.000    0.004    0.000 _parser.py:98(closegroup)
      165    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      163    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      162    0.001    0.000    0.001    0.000 _make.py:2423(_setattrs)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
      158    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      154    0.000    0.000    0.000    0.000 enum.py:202(__get__)
      152    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
      151    0.000    0.000    0.000    0.000 enum.py:1292(value)
      149    0.000    0.000    0.000    0.000 base_events.py:2005(get_debug)
      148    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
      148    0.000    0.000    0.000    0.000 _make.py:1414(_generate_unique_filename)
      148    0.000    0.000    0.012    0.000 _make.py:218(_make_method)
      147    0.000    0.000    0.001    0.000 enum.py:390(__setitem__)
      147    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
      142    0.000    0.000    0.000    0.000 typing.py:317(_deduplicate)
      140    0.000    0.000    0.001    0.000 typing.py:345(_remove_dups_flatten)
      140    0.000    0.000    0.005    0.000 typing.py:687(Union)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:385(freeze)
      136    0.000    0.000    0.000    0.000 css_parser.py:359(__init__)
      136    0.000    0.000    0.000    0.000 _make.py:1425(<genexpr>)
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
      134    0.000    0.000    0.000    0.000 {built-in method time.monotonic}
      133    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      131    0.000    0.000    0.000    0.000 base_events.py:734(time)
      130    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      126    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
