('Total Revenue', '245,122,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         760919 function calls (744248 primitive calls) in 1.596 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1831    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      211    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      768    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      637    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      162    0.000    0.000    0.000    0.000 _make.py:2423(_setattrs)
       54    0.000    0.000    0.009    0.000 financial_enhanced.py:9(get_url_content)
     2834    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      192    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      148    0.000    0.000    0.013    0.000 _make.py:218(_make_method)
       84    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        2    0.000    0.000    0.183    0.091 client.py:1(<module>)
      714    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
       38    0.000    0.000    0.000    0.000 _make.py:1967(_attrs_to_init_script)
      277    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:385(freeze)
     1384    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      174    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      136    0.000    0.000    0.000    0.000 css_parser.py:359(__init__)
       81    0.000    0.000    0.001    0.000 _make.py:102(attrib)
        1    0.000    0.000    0.000    0.000 traceback.py:374(StackSummary)
        1    0.000    0.000    0.027    0.027 dammit.py:67(EntitySubstitution)
      556    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
        6    0.000    0.000    0.000    0.000 _parser.py:893(_parse_flags)
  199/165    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
      211    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
       81    0.000    0.000    0.000    0.000 _make.py:2543(__init__)
      194    0.000    0.000    0.000    0.000 _make.py:1109(_determine_attrib_eq_order)
       81    0.000    0.000    0.001    0.000 copy.py:61(copy)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
      419    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
        1    0.000    0.000    0.000    0.000 sslproto.py:270(__init__)
      556    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      251    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
        2    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
       61    0.000    0.000    0.020    0.000 selector_events.py:972(_read_ready__get_buffer)
      232    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
     1039    0.000    0.000    0.000    0.000 element.py:1543(get)
       62    0.000    0.000    0.015    0.000 sslproto.py:724(_do_read)
      142    0.000    0.000    0.235    0.002 events.py:86(_run)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1161(_make_netmask)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
       81    0.000    0.000    0.001    0.000 _make.py:2408(__getstate__)
       96    0.000    0.000    0.000    0.000 streams.py:298(_wait)
      251    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      192    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
       93    0.000    0.000    0.000    0.000 enum.py:251(__init__)
       29    0.000    0.000    0.006    0.000 _make.py:1631(_make_repr)
       38    0.000    0.000    0.004    0.000 _make.py:1800(_make_init)
        1    0.000    0.000    0.026    0.026 helpers.py:1(<module>)
      643    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
    19/13    0.000    0.000    0.001    0.000 {method 'acquire' of '_thread.lock' objects}
      457    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
      152    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
      192    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
       56    0.000    0.000    0.000    0.000 base_events.py:447(create_future)
   178/91    0.000    0.000    0.146    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       40    0.000    0.000    0.003    0.000 _make.py:1424(_make_hash)
     1031    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      251    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.008    0.008 client_reqrep.py:1(<module>)
       41    0.000    0.000    0.003    0.000 _make.py:1522(_make_eq)
      120    0.000    0.000    0.001    0.000 _markupbase.py:165(parse_comment)
       61    0.000    0.000    0.018    0.000 sslproto.py:435(buffer_updated)
     1384    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      492    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      126    0.000    0.000    0.003    0.000 typing.py:1458(copy_with)
       41    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
      373    0.000    0.000    0.002    0.000 ssl.py:850(read)
        1    0.000    0.000    0.000    0.000 {method 'connect' of '_socket.socket' objects}
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
      211    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      851    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      231    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      251    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      960    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
      167    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      148    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
      419    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.004    0.004 socket.py:1(<module>)
      714    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
       39    0.000    0.000    0.004    0.000 _make.py:247(_make_attr_tuple_class)
       78    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
      453    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      193    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
       66    0.000    0.000    0.010    0.000 http_parser.py:970(feed_data)
       84    0.000    0.000    0.000    0.000 css_parser.py:798(parse_combinator)
        1    0.000    0.000    0.002    0.002 multipart.py:1(<module>)
      165    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
       73    0.000    0.000    0.003    0.000 typing.py:740(Optional)
       93    0.000    0.000    0.000    0.000 enum.py:1551(__or__)
  176/136    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
      466    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
  368/304    0.000    0.000    0.000    0.000 typing.py:1258(__hash__)
      403    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
